ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
12,50,0.650,0.070,0.040,0.35,87.0985,87.0985,0.0000
12,50,0.650,0.070,0.050,0.35,87.0441,87.0441,0.0000
12,50,0.650,0.070,0.060,0.35,80.0762,80.0762,0.0000
12,50,0.650,0.070,0.070,0.35,81.5460,81.5460,0.0000
12,50,0.650,0.080,0.030,0.35,86.8808,86.8808,0.0000
12,50,0.650,0.080,0.040,0.35,82.6347,82.6347,0.0000
12,50,0.650,0.080,0.050,0.35,79.6076,83.9412,0.0544
12,50,0.650,0.080,0.060,0.35,83.9412,83.9412,0.0000
12,50,0.650,0.080,0.070,0.35,80.1306,80.1306,0.0000
-------------------------------------------
12,50,0.800,0.020,0.030,0.35,79.4774,79.4774,0.0000
12,50,0.800,0.020,0.040,0.35,69.5155,69.5155,0.0000
12,50,0.800,0.020,0.050,0.35,86.3909,86.3909,0.0000
12,50,0.800,0.020,0.060,0.35,74.9047,74.9047,0.0000
12,50,0.800,0.020,0.070,0.35,71.4208,71.4208,0.0000
12,50,0.800,0.030,0.030,0.35,85.7921,85.7921,0.0000
12,50,0.800,0.030,0.040,0.35,84.5400,84.5400,0.0000
12,50,0.800,0.030,0.050,0.35,84.1045,84.1045,0.0000
12,50,0.800,0.030,0.060,0.35,82.6347,82.6347,0.0000
12,50,0.800,0.030,0.070,0.35,84.1590,84.1590,0.0000
12,50,0.800,0.040,0.030,0.35,86.2275,86.2275,0.0000
12,50,0.800,0.040,0.040,0.35,87.2618,87.2618,0.0000
12,50,0.800,0.040,0.050,0.35,80.1851,80.1851,0.0000
12,50,0.800,0.040,0.060,0.35,87.6429,87.6429,0.0000
12,50,0.800,0.040,0.070,0.35,79.0419,79.0419,0.0000
12,50,0.800,0.050,0.030,0.35,81.0561,81.0561,0.0000
12,50,0.800,0.050,0.040,0.35,85.7376,85.7376,0.0000
12,50,0.800,0.050,0.050,0.35,82.6892,82.6892,0.0000
12,50,0.800,0.050,0.060,0.35,82.5259,82.5259,0.0000
12,50,0.800,0.050,0.070,0.35,79.2052,79.2052,0.0000
12,50,0.800,0.060,0.030,0.35,83.2335,83.2335,0.0000
